"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"1",268884,"health",NA,4.9,15,NA,30.6,3192
"2",146945,"health","premium",4.5,6,1,21.7,1046
"3",130623,"toys","premium",4,10,29,24,2460
"4",112757,"toys","off_brand",4.6,15,6,61.6,709
"5",94000,"health","off_brand",3.6,7,15,30.1,1182
"6",274748,"other","off_brand",4.5,13,24,36.8,4085
"7",224564,"toys",NA,4.6,15,28,62.8,3101
"8",120683,"toys","premium",4.7,7,13,51.9,823
"9",47085,"health","off_brand",3.5,4,26,35.6,1016
"10",98520,"other",NA,3.8,7,7,74.6,1265
"11",170354,"health","premium",4.3,7,15,69.2,2574
"12",219841,"health","off_brand",4.9,3,11,42,2632
"13",34014,"toys","premium",3.3,2,NA,26,1266
"14",192654,"food","off_brand",3.9,5,11,67.2,2123
"15",95492,"other","premium",3.7,4,22,56.3,959
"16",156891,"health",NA,3.7,1,16,41.3,2832
"17",119277,"health","premium",3.7,10,32,60.3,1598
"18",123302,"health","off_brand",3.8,12,24,63.2,2186
"19",184148,"health",NA,4.4,9,14,34.7,2306
"20",198148,"health","off_brand",4.4,6,24,72.5,2528
"21",145537,"toys","off_brand",4.9,9,18,69.6,1209
"22",150551,"other","off_brand",4,11,15,15.6,2125
"23",27433,"health","off_brand",3.4,2,26,53.7,973
"24",26725,"toys","premium",4.2,1,16,42.6,794
"25",178153,"other","premium",4.2,15,25,18.2,2738
"26",185224,"food","off_brand",4.3,6,16,61,2290
"27",73944,"other","premium",3.6,3,9,37.5,1348
"28",168855,"toys","off_brand",3.5,21,30,75.3,3009
"29",208474,"toys","premium",4.5,8,15,88.1,2834
"30",141802,"health","off_brand",3.8,4,28,40.5,2878
"31",187855,"health","off_brand",4.7,24,21,47.6,1135
"32",279952,"health","off_brand",4.4,13,15,37.7,4554
"33",157156,"health",NA,4.4,16,25,22.3,2017
"34",185577,"food","premium",4.8,9,7,21.4,926
"35",181784,"food","off_brand",4.7,5,6,78.3,1721
"36",95818,"other","off_brand",3.8,10,26,55.4,886
"37",154306,"health","premium",3.3,8,15,28,3566
"38",119881,"health","off_brand",4.5,8,15,69,1184
"39",135006,"other","off_brand",3.8,10,23,28.7,1425
"40",187979,"health","off_brand",4.5,5,21,58.9,2724
"41",87263,"other","premium",3.3,3,24,15.5,1888
"42",219785,"health","off_brand",4.4,10,6,48,2877
"43",187398,"health","off_brand",4.5,8,21,47.2,2384
"44",137596,"toys","premium",4.6,5,16,43.5,1366
"45",152589,"toys","off_brand",4.7,9,7,47.2,987
"46",151607,"health","off_brand",4,4,17,9,2549
"47",196227,"toys","off_brand",4.3,9,16,105.7,2514
"48",158947,"food","premium",3.7,3,26,8.5,3028
"49",105262,"health","premium",4.5,1,17,5,875
"50",53431,"health","premium",3.6,5,12,19.9,450
"51",112894,"health","premium",4.2,13,10,19.3,1579
"52",83050,"food","premium",3.3,10,25,63.1,960
"53",65825,"health","premium",4,12,16,46.9,685
"54",186163,"health","off_brand",4.4,8,16,30.5,2192
"55",165033,"toys","off_brand",4.4,9,24,68.7,2397
"56",107534,"other","premium",4,9,29,48.1,1932
"57",92104,"health","premium",3.7,4,32,34.9,609
"58",159135,"health","premium",4.6,9,30,47.6,1146
"59",198294,"toys","off_brand",4.7,5,16,82.7,2725
"60",164362,"other",NA,4.5,5,26,39.8,2806
"61",97075,"health","off_brand",4.1,14,18,36.7,1072
"62",63645,"health","premium",4.3,3,23,26.7,1028
"63",206281,"health","off_brand",4.1,2,21,6.8,3409
"64",198162,"food","off_brand",4.9,6,30,69.7,1046
"65",111823,"toys","off_brand",4.3,3,NA,68.5,1027
"66",142942,"food","off_brand",3.9,10,NA,45.3,1505
"67",179386,"health","off_brand",4.5,8,33,48,2229
"68",191874,"toys","off_brand",4.4,4,28,58.6,3285
